a art#一(个)；每一(个)
 restaurant #餐馆，饭店，菜馆
 restless #不安定的，焦虑的
 restore#恢复；归还；修补
 restrain #抑制，遏制；限制
 restraint#抑制；遏制；克制
 restrict vt#限制，限定，约束
 restriction#限制，限定，约束
 result #成果 #发生，结果
 resume #恢复；重新开始
 retain #保持，保留，保有
 retell #再讲，重述，复述
 retire #退下；引退；就寝
 retreat#(被迫)退却，后退
 return #回来，返回
 reveal #展现；揭示，揭露
 revenge#替…报仇 #报仇
 reverse#颠倒，翻转 #背面
 review #再检查 #复习
 revise #修订，校订；修改
 revolt #反抗，造反
 revolution #革命；旋转，绕转
 revolutionary#革命的 #革命者
 reward #报答；报酬 #报答
 rhythm #韵律，格律；节奏
 rib#肋，肋骨
 ribbon #缎带，丝带；带
 rice #稻，米，饭
 rich #富的，丰富的
 rid#使摆脱，使去掉
 riddle #谜，谜语
 ride #骑马，乘车
 rider#骑马的人；乘车的人
 ridge#脊；岭，山脉；垄
 ridiculous #荒谬的，可笑的
 rifle#步枪，来复枪
 right#正确的 #对，正好
 rigid#刚硬的；僵硬的
 ring #环形物(如圈、环等)
 ring #鸣；按铃 #铃声
 ripe #熟的；时机成熟的
 ripen#使熟 #成熟
 rise #起立；升起；上涨
 risk #风险，危险，冒险
 rival#竞争者 #竞争的
 river#江，河，水道
 road #路，道路，公路
 roar #吼叫；呼喊 #吼
 roast#烤，炙，烘
 rob#抢劫；劫掠
 robber #强盗，盗贼
 robbery#抢劫，劫掠，盗取
 robe #长袍，长衣，浴衣
 robot#机器人；自动机
 rock #摇，使动摇 #摇
 rock #岩，岩石；石头
 rocket #火箭，火箭发动机
 rod#杆，竿，棒
 role #角色，作用，任务
 roll #滚动；转动
 roller #滚柱，滚筒，滚轴
 Roman#古罗马人 #罗马的
 romantic #浪漫的；传奇的
 roof #屋顶，车顶；顶
 room #房间；地位；余地
 root #根，根子 #生根
 rope #绳，索
 rose #蔷薇花，蔷薇科植物
 rot#烂，腐坏 #腐烂
 rotary #旋转的，转动的
 rotate #旋转 #使旋转
 rotation #旋转，转动；循环
 rotten #腐烂的，发臭的
 rough#表面不平的；粗略的
 roughly#粗糙地，粗略地
 round#圆的 #兜圈；一轮
 rouse#唤醒，唤起；惊起
 route#路，路线，路程
 routine#例行公事 #日常的
 row#(一)排，(一)行
 row#划(船等) #划船
 royal#王的；皇家的
 rub#摩擦，擦 #摩擦
 rubber #橡皮(擦子)；橡胶
 rubbish#垃圾，废物；废话
 rude #加工粗糙的；粗野的
 rug#小地毯；毛毯
 ruin #毁灭；废墟 #毁坏
 rule #统治；规定；习惯
 ruler#统治者；尺，直尺
 rumour #谣言，谣传，传闻
 run#跑，奔；行驶；流
 runner #赛跑的人
 rural#农村的，田园的
 rush #冲，奔 #催促
 Russian#俄罗斯的 #俄国人
 rust #锈 #生锈，氧化
 rusty#生锈的；变迟钝的
 sack #袋，麻袋；开除
 sacred #上帝的；神圣的
 sacrifice#牺牲；南祭
 sad#悲哀的，令人悲痛的
 saddle #鞍子，马鞍
 sadly#悲痛地，悲哀地
 sadness#悲痛，悲哀
 safe #安全的；谨慎的
 safe #保险箱
 safely #安全地；可#地
 safety #安全，保险
 sail #帆；船#航行
 sailor #水手，海员，水兵
 saint#圣徒；基督教徒
 sake #缘故，理由
 salad#色拉；莴苣，生菜
 salary #薪金，薪水
 sale #卖；拍卖；销售额
 salesman #售货员，推销员
 salt #盐；盐类 #加盐于
 salute #招呼，行礼 #行礼
 same #同一的，相同的
 sample #样品；实例，标本
 sand #沙，沙子；沙滩
 sandwich #三明治 #夹入
 sandy#沙的，含沙的
 satellite#卫星；人造卫星
 satisfaction #满意；快事；赔偿
 satisfactory #令人满意的，良好的
 satisfy#满足；使满意
 Saturday #星期六
 sauce#调味汁，酱汁
 saucer #茶托，浅碟
 sausage#香肠，腊肠
 save #救；节省；储蓄
 saving #搭救；节约；存款
 saw#锯子 #锯，锯开
 say#说；说明；比如说
 scale#天平，磅秤，秤
 scale#标度；比例；大小
 scan #细看；浏览；扫描
 scar #伤疤，伤痕；创伤
 scarce #缺乏的；希有的
 scarcely #仅仅；几乎不
 scare#惊吓 #受惊
 scarf#围巾，头巾；领带
 scatter#使消散；撒；散播
 scene#发生地点；道具
 scenery#舞台布景；风景
 scent#气味，香味；香水
 schedule #时间表；计划表
 scheme #计划，规划；诡计
 scholar#学者(尤指文学方面)
 scholarship#学业成绩；奖学金
 school #学校；学院；学派
 science#科学，科学研究
 scientific #科学(上)的
 scientist#(自然)科学家
 scissors #剪刀，剪子
 scold#责骂 #申斥
 scope#范围；余地，机会
 score#得分，比数，成绩
 scorn#轻蔑；嘲笑 #轻蔑
 scout#侦察员，侦察机
 scrape #&#刮，擦
 scratch#&#搔；抓
 scream #尖叫；呼啸
 screen #屏；屏幕 #掩蔽
 screw#螺旋，螺丝 #拧紧
 sea#海，海洋
 seal #封蜡；印记 #封
 seal #海豹
 seaman #海员，水手；水兵
 seaport#海港，港市
 search #在…中搜寻，搜查
 season #季，季节，时节
 seat #座；座部 #使坐下
 second num#第二 #二等的
 second #秒
 secondary#第二的；次要的
 secondly #第二(点)；其次
 secret #秘密的；隐蔽的
 secretary#秘书；书记；大臣
 section#切片；一段；部门
 secure #安心的；安全的
 security #安全，安全感
 see#看见；遇见；看出
 seed #种(子)，籽，萌芽
 seek #寻找，探索；试图
 seem #好像，似乎
 seize#抓住，逮捕；夺取
 seldom #很少，不常，难得
 select #选择，挑选
 selection#选择，挑选；精选物
 self #自我，自己
 selfish#自私的，利己的
 sell #卖，销售
 seller #卖者；行销货
 semester #半年；学期，半学年
 semiconductor#半导体
 senate #参议院，上院
 send #送，寄发；派遣
 senior #年少的；地位较高的
 sense#感官；感觉；见识
 sensible #感觉得到的；明智的
 sensitive#敏感的；灵敏的
 sentence #判决；句子 #宣判
 separate #分离的；个别的
 separately #分离地
 separation #分离，分开；分居
 September#九月
 sequence #连续，继续；次序
 series #连续，系列；丛书
 serious#严肃的；认真的
 seriously#严肃地，认真地
 servant#仆人，佣人，雇工
 serve#为…服务；招待
 service#服务；行政部门
 session#会议，一段时间
 set#放；安置 #落
 setting#安装，调整；环境
 settle #安排；安放；调停
 settlement #解决；殖民，殖民地
 sevennum#七，七个(人或物)
 seventeennum#十七，十七个
 seventhnum#第七；七分之一
 seventynum#七十，七十个
 several#几个，数个
 severe #严格的；严厉的
 severely #严厉地，严格地
 sew#缝制 #缝纫
 ####性别，性
 shade#荫；遮光物 #荫蔽
 shadow #阴影，阴，影子
 shady#成荫的，阴凉的
 shake#摇，使震动 #摇动
 shall#将要；必须；应
 shallow#浅的；浅薄的
 shame#羞耻，羞愧；羞辱
 shampoo#用洗发剂洗 #洗头
 shape#形状；情况 #形成
 share#份；份额；股份
 sharp#锋利的；敏锐的
 sharpen#削尖，使敏锐
 sharply#锐利地，敏锐地
 shave#剃，刮 #修面
 she#(主格)她
 shear#剪；剥夺 #剪
 shed #流出；散发；脱落
 shed #棚，小屋；贷棚
 sheep#羊，绵羊
 sheet#被单；纸张；薄板
 shelf#搁板，架子
 shell#壳；贝壳；炮弹
 shelter#隐蔽处；掩蔽，庇护
 shepherd #牧羊人，羊倌
 shield #盾；防护物 #保护
 shift#替换，转移 #转换
 shilling #先令
 shine#照耀，发光 #光
 ship #(大)船，海船，舰
 shirt#(男式)衬衫
 shiver #颤抖，哆嗦 #冷颤
 shock#冲击；震惊 #震动
 shoe #鞋
 shoot#发射；射中 #发芽
 shop #商店，店铺；车间
 shopkeeper #店主
 shopping #买东西，购物
 shore#滨，岸
 short#短的；短期的
 shortage #不足，缺少，不足额
 shortcoming#短处，缺点
 shortly#立刻；简短地
 shot #发射；弹丸；射门
 should #将；万一；就
 shoulder #肩，肩膀；挑起
 shout#呼喊，喊叫
 show #给…看；表明
 shower #阵雨；(一)阵；淋浴
 shriek #尖声喊叫 #尖叫声
 shrink #收缩；缩小；退缩
 shut #关上，闭上，关闭
 shy#易受惊的；害羞的
 sick #有病的；恶心的
 sickness #疾病
 side #边，旁边；一方
 sideways #斜着，斜向一边地
 sigh #叹气，叹息
 sight#视力；见；情景
 sightseeing#观光，游览
 sign #符号；招牌 #签名
 signal #信号 #发信号
 signature#署名，签字，签名
 significance #意义，意味；重要性
 significant#有意义的；重要的
 silence#沉默 #使沉默
 silent #沉默的；寂静无声的
 silk #蚕丝，丝，丝织品
 silly#傻的，愚蠢的
 silver #银；银子；银器
 similar#相似的，类似的
 similarly#类似地，相似地
 simple #简单的；朴素的
 simplicity #简单，简易；朴素
 simplify #简化，使单纯
 simply #简单地；朴素地
 sin#罪，罪孽 #犯罪
 since#从…以来；因为
 sincere#真诚的；真挚的
 sing #唱，演唱
 singer #歌唱家，歌手
 single #单一的；独身的
 singular #单一的；非凡的
 sink #下沉；下垂；降低
 sir#先生，阁下；…爵士
 sister #姐妹，姐，妹
 sit#坐，就坐 #使坐
 site #地点，地基；场所
 situation#位置；处境；形势
 sixnum#六，六个
 sixteennum#十六，十六个
 sixthnum#第六；六分之一
 sixtynum#六十，六十个
 size #大小；体积；尺码
 skate#冰鞋；滑冰 #滑冰
 sketch #略图；速写；概略
 ski#滑橇 #滑雪
 skill#技能，技巧；熟练
 skilled#有技能的，熟练的
 skillful #灵巧的，娴熟的
 skim #掠过，擦过；略读
 skin #皮；兽皮；外皮
 skirt#女裙；边缘；郊区
 sky#天，天空
 slam #使劲关，砰地放下
 slave#奴隶；苦工
 slavery#奴隶制度；苦役
 sleep#睡眠 #睡 #睡
 sleepy #想睡的；寂静的
 sleeve #袖子，袖套
 slender#细长的；微薄的
 slice#薄片，切片；部分
 slide#滑 #使滑动 #滑
 slight #细长的；轻微的
 slightly #稍微，有点
 slip #滑跤；滑落；溜
 slipper#拖鞋，便鞋
 slippery #滑的，使人滑跤的
 slit #裂缝 #切开，撕开
 slogan #标语，口号
 slope#倾斜；斜面 #倾斜
 slow #慢的；迟钝的
 slowly #慢慢地
 slum #贫民窟，贫民区
 sly#狡猾的；躲躲闪闪的
 small#小的，少的；小型的
 smart#巧妙的；洒脱的
 smell#嗅觉；气味 #嗅
 smile#微笑 #微笑，笑容
 smog #烟雾
 smoke#烟；抽烟 #冒烟
 smooth #平滑的；平静的
 smoothly #光滑地；平稳地
 snake#蛇
 snow #雪 #下雪
 snowstorm#雪暴，暴风雪
 snowy#雪的，下雪的
 so #这样；这么；非常
 soak #浸，泡 #浸泡
 soap #肥皂
 sob#啜泣，呜咽
 sober#清醒的；适度的
 so-called#所谓的，号称的
 soccer #英式足球
 social #社会的；社交的
 socialism#社会主义
 socialist#社会主义的
 society#社会；团体；社交界
 sock #短袜
 soda #碳酸钠，纯碱；汽水
 soft #软的；柔和的
 softly #柔软地；温柔地
 soil #泥土，土壤，土地
 soil #弄脏 #变脏
 solar#太阳的，日光的
 soldier#(陆军)士兵，军人
 sole #脚底，鞋底，袜底
 sole #单独的，唯一的
 solely #单独地，唯一地
 solemn #庄严的；隆重的
 solid#固体的 #固体
 soluble#可溶的；可以解决的
 solution #解决，解答；溶解
 solve#解答，解释，解决
 some #一些，若干
 somebody #某人，有人
 somehow#由于某种原因
 someone#某人，有人
 something#某事，某物
 sometime #在某一时候；从前
 sometimes#不时，有时
 somewhat #一点儿 #有点
 somewhere#在某处 #某地
 son#儿子
 song #歌唱；歌曲，歌词
 soon #不久；早，快
 sophisticated#老于世故的；高级的
 sore #痛的；恼火的 #疮
 sorrow #悲痛，悲哀，悲伤
 sorry#难过的；对不起的
 sort #种类；类别 #整理
 soul #灵魂；精神；人
 sound#健康的；完好的
 sound#声音 #响，发声
 soup #汤
 sour #酸的；脾气坏的
 source #河的源头；根源
 south#南，南方 #南方的
 southeast#东南 #位于东南的
 southern #南方的，南部的
 southwest#西南 #西南的
 Soviet #苏维埃 #苏维埃的
 sow#播(种) #播种
 space#空间；场地；空白
 spacecraft #航天器，宇宙飞船
 spaceship#航天飞船
 spade#铲，铁锹
 span #跨距；一段时间
 Spanish#西班牙的#西班牙人
 spare#节约 #多余的
 spark#火花，火星
 sparkle#发火花 #使闪耀
 sparrow#麻雀
 speak#说话；发言 #说
 speaker#说话者；扬声器
 spear#矛，枪
 special#特殊的；专门的
 specialist #专家
 speciality #专业，特长；特产
 specialize #成为…专家；专攻
 specially#专门地，特别地
 specific #特有的；具体的
 specify#指定，详细说明
 specimen #样本，标本，样品
 spectacle#光景，景象；眼镜
 speech #言语；演说；方言
 speed#快；速率 #快行
 spell#拼写 #拼字
 spelling #拼字，拼法，拼写法
 spend#用钱，花费；度过
 sphere #球，圆体；范围
 spider #蜘蛛
 spill#使溢出 #溢出
 spin #纺；使旋转 #旋转
 spirit #精神；气魄；情绪
 spiritual#精神的，心灵的
 spit #吐 #吐唾沫
 splash #溅，泼，飞溅
 splendid #壮丽的；显著的
 split#劈开 #被劈开
 spoil#损坏，糟蹋；宠坏
 sponge #海绵
 sponsor#发起者 #发起
 spontaneous#自发的；本能的
 spoon#匙，调羹
 sport#运动；运动会
 sportsman#运动员
 spot #点，斑点；地点
 spray#浪花；喷雾 #喷
 spread #伸开；传播 #传播
 spring #跳，跃 #跳跃；泉
 spring #春天，春季
 springtime #春季，春天
 sprinkle #洒，撒；小雨
 spur #刺激物 #刺激
 spy#间谍，特务 #侦察
 square #正方形；广场
 squeeze#榨，挤；压榨
 squirrel #松鼠
 stab #&#刺，戳
 stability#稳定，稳定性，巩固
 stable #稳定的，不变的
 stable #厩，马厩，牛棚
 stack#堆，垛 #堆积
 stadium#露天大型运动场
 staff#工作人员；参谋
 stage#舞台；戏剧；阶段
 stain#沾污；给…着色
 stair#楼梯
 staircase#楼梯，楼梯间
 stake#桩；赌金；奖品
 stale#陈腐的；走了气的
 stamp#戳子；邮票；标志
 stand#站；坐落 #架，台
 standard #标准 #标准的
 standpoint #立场，观点
 star #星；恒星；明星
 stare#盯，凝视
 start#跳起；出发；开始
 startle#使大吃一惊 #吃惊
 starve #饿死 #使饿死
 state#状态；国家；州
 state#陈述，说明，阐明
 statement#陈述，声明
 statesman#政治家，国务活动家
 static #静的；静态的
 station#站，台，所，局
 statistical#统计的，统计学的
 statue #塑像，雕像，铸像
 status #地位，身分
 stay #停留；住 #逗留
 steadily #稳定地，不变地
 steady #稳固的 #使稳定
 steal#偷，窍取
 steam#蒸汽 #蒸发 #蒸
 steamer#轮船，汽船
 steel#钢，钢铁
 steep#险峻的，陡峭的
 steer#驾驶
 stem #茎，(树)干 #起源
 step #(脚)步；步骤 #走
 stern#严厉的；坚定的
 steward#乘务员，服务员
 stewardess #空中小姐，女乘务员
 stick#棍，棒 #刺；粘贴
 sticky #粘性的；胶粘的
 stiff#硬的；僵直的
 stiffen#使硬；使僵硬
 still#静止的 #寂静
 stimulate#刺激，激励，激发
 sting#刺；刺痛 #刺
 stir #动；拨动；激动
 stitch #一针；针脚 #缝
 stock#原料；库存品；股本
 stocking #长(统)袜
 stomach#胃；肚子；食欲
 stone#石，石头；宝石
 stony#多石的；冷酷的
 stool#凳子
 stoop#俯身；弯身 #弯腰
 stop #塞住；阻止；停止
 storage#贮藏；贮藏量
 store#贮藏；贮存品；商店
 storey #(层)楼
 storm#风暴；暴(风)雨
 stormy #有暴风雨的；激烈的
 story#故事，小说，传说
 stove#炉，火炉，电炉
 straight #直的；正直的 #直
 strain #拉紧 #尽力
 strange#陌生的；奇怪的
 stranger #陌生人；新来者
 strap#带子 #捆扎
 strategy #战略；策略
 straw#稻草，麦杆吸管
 strawberry #草莓
 stream #河；流 #流
 street #街，街道；行车道
 strength #力，力量，力气
 strengthen #加强，巩固
 stress #压力；重音 #着重
 stretch#伸展 #伸 #伸展
 strict #严格的；严谨的
 strictly #严格地，严谨地
 strike #打，击 #罢工
 string #线，细绳；一串
 strip#剥；夺去 #条带
 stripe #条纹，条子
 stroke #打，击；鸣声；中风
 stroke #抚，摩，捋
 strong #强壮的；擅长的
 strongly #强壮地，强烈地
 structural #结构的，构造的
 structure#结构；构造 #建造
 struggle #斗争，奋斗
 student#学生；研究生，学者
 study#学习，研究 #学
 stuff#材料 #装，填，塞
 stumble#绊倒；犯错误
 stupid #愚蠢的；感觉迟钝的
 style#风格；文体；式样
 subject#题目；学科；主语
 submarine#水下的 #潜水艇
 submerge #浸没 #潜入水中
 submit #使服从 #服从
 subsequent #随后的，后来的
 substance#物质；实质；本旨
 substantial#物质的；坚固的
 substitute #代替人 #用…代替
 subtract #减，减去，去掉
 suburb #郊区，郊外，近郊
 subway #地道；地下铁路
 succeed#继…之后 #成功
 success#成功，成就，胜利
 successful #成功的，结果良好的
 successfully #成功地
 succession #连续；继任，继承
 successive #连续的；接连的
 such #这样的；如此的…
 suck #吸，吮，啜；吸收
 sudden #突然的，意外的
 suddenly #突然地
 suffer #遭受；忍受；容许
 sufficient #足够的，充分的
 sufficiently #足够地，充分地
 sugar#糖
 suggest#建议；暗示，启发
 suggestion #建议，意见；暗示
 suit #起拆，诉讼 #适合
 suitable #合适的；适宜的
 sulphur#硫(磺)，硫黄
 sum#总数；金额 #共计
 summarize#概括，概述，总结
 summary#摘要，概要，一览
 summer #夏，夏季
 sun#太阳，日
 Sunday #星期日，礼拜日
 sunlight #日光，阳光
 sunny#阳光充足的；快活的
 sunrise#日出(时分)
 sunset #日落(时分)
 sunshine #(直射)日光，阳光
 super#极好的，超级的
 superficial#表面的；肤浅的
 superior #较高的；优越的
 supermarket#超级市场
 supper #晚饭，晚餐
 supplement #增补，补充
 supply #供给，供应
 support#支撑；支持；供养
 suppose#猜想；假定；让
 supreme#最高的；最大的
 sure #确信的；确实的
 surely #确实；稳当地
 surface#地面，表面；外表
 surgeon#外科医师；军医
 surgery#外科，外科手术
 surname#姓
 surprise #使惊奇；突然袭击
 surprising #惊人的；出人意外的
 surprisingly #惊人地
 surrender#交出 #投降
 surround #围，围绕，圈住
 surroundings #周围的事物，环境
 survey #俯瞰；检查；测量
 survive#幸免于 #活下来
 suspect#怀疑 #疑心
 suspend#吊，悬；推迟
 suspicion#怀疑，疑心，猜疑
 sustain#支撑；供养；忍受
 swallow#燕子
 swallow#吞下，咽下
 swamp#沼泽，沼泽地
 swan #天鹅
 swarm#一大群 #密集
 sway #摇动 #摇；摇动
 swear#宣(誓) #诅咒
 sweat#汗 #出汗
 sweater#厚运动衫，毛线衫
 sweep#扫；刮起；扫过
 sweet#甜的；愉快的
 swell#膨胀；隆起；增长
 swift#快的；反应快的
 swim #游，游泳；眼花
 swing#摇摆；回转 #摇摆
 Swiss#瑞士的 #瑞士人
 switch #开关；转换 #转换
 sword#剑，刀
 symbol #象征；符号，记号
 sympathetic#同情的；和谐的
 sympathize #同情；同感，共鸣
 sympathy #同情；一致，同感
 synthetic#综合的；合成的
 system #系统，体系；制度
 systematic(al) #有系统的；有计划的
 table#桌子；餐桌；项目表
 tablet #碑，匾；药片
 tag#附加语；标签
 tail #尾巴；末尾部分
 tailor #裁缝 #裁制衣服
 take #拿；抓；拿走；吃
 tale #故事，传说
 talent #天才；才能；人才
 talk #讲话 #谈论
 tall #高的，身材高的
 tame #驯服的；顺从的
 tan#棕褐色 #棕黄色的
 tank #坦克；大容器，槽
 tap#&#轻叩
 tap#塞子；龙头 #开发
 tape #线带；磁带，录音带
 target #靶，标的；目标
 task #任务，工作，作业
 taste#尝；尝到 #味觉
 tax#税，税款；负担
 taxi #出租汽车
 tea#茶；茶叶；茶树
 teach#讲；教育 #教书
 teacher#教师，老师，先生
 teaching #教学，讲授；教导
 team #队，组
 tear #眼泪，泪珠
 tear #撕开，撕裂
 technical#技术的，工艺的
 technician #技术员，技师
 technique#技术，技巧；技能
 technology #工艺学，工艺，技术
 tedious#冗长乏味的，沉闷的
 teenager #青少年
 telegram #电报
 telegraph#电报机；电报
 telephone#电话 #打电话
 telescope#望远镜
 television #电视；电视机
 tell #讲述；吩咐；辨别
 temper #韧度；心情，情绪
 temperature#温度；体温
 temple #圣堂，神殿，庙宇
 temporary#暂时的，临时的
 tempt#引诱，诱惑；吸引
 temptation #诱惑，引诱
 tennum#十，十个
 tenant #承担人，房客，佃户
 tend #照管，照料，护理
 tend #走向，趋向；倾向
 tendency #趋向，趋势，倾向
 tender #嫩的；脆弱的
 tennis #网球，网球运动
 tense#时态，时
 tense#拉紧的，绷紧的
 tent #帐篷
 tenthnum#第十；十分之一
 term #期；学期；条件；词
 terminal #末端的 #末端
 terrible #可怕的；极度的
 terrific #可怕的；极大的
 territory#领土，版图；领域
 terror #恐怖，惊骇
 test #试验；检验
 text #原文，本文；课文
 textbook #课本，教科书
 textile#纺织品 #纺织的
 than #(比较级)比
 thank#谢谢，感谢 #感谢
 that #那 #那 #那样
 theart#(定冠词)这，那
 theatre#戏院；戏剧；教室
 their#他(她、它)们的
 theirs #他(她)们的东西
 them #(宾格)他们
 themselves #他们自己
 then #当时；然后；那么
 theoretical#理论(上)的
 theory #理论；学说；意见
 there#在那里；在那点上
 thereby#因此，从而，由此
 therefore#因此，所以
 thermometer#温度计，寒暑表
 these#这些
 they #(主格)他(她)们
 thick#厚的；密的；浓
 thickness#厚(度)；密(度)
 thief#窃贼，偷窃犯
 thin #薄的；淡的 #变薄
 thing#物；用品；事；情况
 think#想；想要；认为
 thirdnum#第三；三分之一
 thirdly#第三
 thirst #渴，口渴；渴望
 thirsty#渴的；渴望的
 thirteen num#十三，十三个
 thirty num#三十，三十个
 this #这；今 #这
 thorn#刺，棘；荆棘；蒺藜
 thorough #彻底的；详尽的
 those#那些
 though #虽然 #可是
 thought#思想；思维；想法
 thoughtful #沉思的；体贴的
 thousand num#千，千个 #无数
 thread #线；丝；螺纹；头绪
 threat #威胁，恐吓，凶兆
 threaten #威胁，恐吓
 threenum#三，三个
 thrill #一阵激动
 thrive #兴旺，繁荣，旺盛
 throat #咽喉，喉咙；嗓音
 throne #宝座，御座；王位
 throng #群，人群 #挤满
 through#穿过#从头到尾
 throughout #遍及 #到处
 throw#投，掷，抛，扔
 thrust #插，刺 #插；讽刺
 thumb#(大)拇指
 thunder#雷 #打雷 #吼出
 Thursday #星期四
 thus #如此，这样；因而
 tick #滴答声；记号
 ticket #票，券；纲领；传票
 tide #潮，潮汐；潮流
 tidy #整洁的；整齐的
 tie#领带；联系 #系
 tiger#虎
 tight#紧的；紧身的
 till ##直到…为止
 timber #木材，木料
 time #时间；时机；次，回
 timetable#时间表，时刻表
 timid#胆怯的；羞怯的
 tin#锡；罐头
 tiny #微小的，极小的
 tip#梢，末端，尖，尖端
 tip#轻击 #给小费
 tire #疲劳，累；厌倦
 tired#疲劳的；厌倦的
 tissue #薄绢；薄纸；组织
 title#标题，题目；称号
 to #到，向，达到
 toast#烤面包 #烘，烤
 toast#祝酒；祝酒词
 tobacco#烟草，烟叶
 today#在今天；现在
 toe#脚趾，足尖
 together #共同，一起
 toilet #厕所，盥洗室，浴室
 tolerance#忍受，容忍；公差
 tolerate #忍受，容忍，宽恕
 tomato #番茄，西红柿
 tomb #坟，冢
 tomorrow #在明天 #明天
 ton#吨；大量
 tone #音；腔调；声调
 tongue #舌，舌头；语言
 tonight#在今夜 #今夜
 too#也，还；太，过分
 tool #工具，器具，用具
 tooth#牙齿
 top#顶；首位 #顶的
 topic#题目，论题，话题
 torch#火炬，火把；手电筒
 torrent#奔流，激流，洪流
 tortoise #龟，乌龟
 torture#拷问；折磨 #拷打
 toss #扔，抛，掷
 total#总的 #合计，总共
 touch#触摸；触动 #触
 tough#坚韧的；健壮的
 tour #旅行，游历
 tourist#旅游者，观光者
 toward(s)#向；对于；接近
 towel#毛巾，手巾
 tower#塔 #屹立，高耸
 town #镇，市镇，城镇
 toy#玩具，玩物
 trace#痕迹；丝毫 #跟踪
 track#行踪；路径；轨道
 tractor#拖拉机；牵引车
 trade#贸易；职业 #交易
 tradition#传统，惯例
 traditional#传统的，惯例的
 traffic#交通，通行；交通量
 tragedy#悲剧；惨事，惨案
 trail#痕迹；小径 #跟踪
 train#培养 #列车；队列
 training #训练，锻炼，培养
 traitor#叛徒，卖国贼
 tram #(有轨)电车
 tramp#流浪者，游民
 transfer #转移；调动#转移
 transform#改变；改造；变换
 transformation #变化；改造；转变
 transformer#变压器，转换器
 transistor #晶体管
 translate#翻译，译 #翻译
 translation#翻译；译文，译本
 transmission #传送；传动；发射
 transmit #传送，传达；发射
 transparent#透明的；易识破的
 transport#运输 #运输
 transportation #运输，运送，客运
 trap #陷阱；诡计 #诱骗
 travel #&#旅行
 tray #(浅)盘，托盘，碟
 treason#谋反，通敌，叛国罪
 treasure #财富；珍宝 #珍视
 treat#对待；处理 #款待
 treatment#待遇；治疗，疗法
 treaty #条约；协议，协定
 tree #树
 tremble#发抖，哆嗦；摇动
 tremendous #极大的，非常的
 trend#伸向；倾向 #倾向
 trial#试，试验；审判
 triangle #三角(形)
 tribe#部落，宗族
 trick#诡计；窍门 #哄骗
 trifle #小事，琐事；少许
 trim #整齐的 #使整齐
 trip #绊；失足 vt #绊倒
 triumph#凯旋；胜利 #成功
 troop#军队；一群，大量
 tropical #热带的
 trouble#烦恼；困难 #烦恼
 troublesome#令人烦恼的；麻烦的
 trousers #裤子，长裤
 truck#卡车，载重汽车
 true #真的；忠实的
 truly#真正地；忠实地
 trumpet#喇叭，小号
 trunk#树干；大衣箱，皮箱
 trust#信任 #相信；委托
 truth#真理；真实；真实性
 try#试；审问 #尝试
 tub#桶，盆，浴缸，浴盆
 tube #管；电子管，显像管
 tuck #折短，卷起；塞
 Tuesday#星期二
 tuition#教，教诲；学费
 tumble #摔倒，跌倒；打滚
 tune #调子；和谐 #调谐
 tunnel #隧道，坑道，地道
 turbine#叶轮机，汽轮机
 turbulent#骚动的，骚乱的
 turkey #火鸡；火鸡肉
 turn #转；翻 #转动
 turning#旋转；变向；转弯处
 turnip #萝卜，芜菁
 tutor#家庭教师；导师
 twelfthnum#第十二
 twelve num#十二，十二个
 twentiethnum#第二十
 twenty num#二十，二十个
 twice#两次，两倍
 twin #孪生的 #孪生儿
 twinkle#闪烁，闪耀
 twist#捻；拧 #扭弯
 twonum#二，两个
 type #型，类型 #打字
 typewriter #打字机
 typhoon#台风
 typical#典型的，代表性的
 typist #打字员
 tyre #轮胎，车胎
 ugly #丑陋的；可怕的
 ultimate #最后的，最终的
 ultimately #最终，最后
 umbrella #伞，雨伞
 unable #不能的，不会的
 unbearable #难堪的，忍受不了的
 uncertain#无常的；不确定的
 uncle#伯父，叔父，舅父
 uncomfortable#不舒服的；不自在的
 unconscious#不省人事的
 uncover#揭开…的盖子
 under#在…下面；低于#
 undergo#经历，经受，忍受
 undergraduate#大学肆业生
 underground#地下的；秘密的
 underline#划线于…之下
 underneath #在下面，在底下
 understand #懂；获悉 #懂得
 understanding#理解；理解力；协定
 undertake#从事；承担；保证
 undertaking#任务，事业；许诺
 undo #解开，打开；取消
 undoubtedly#无容置疑，肯定地
 uneasy #心神不安的，忧虑的
 unexpected #想不到的，意外的
 unfair #不公平的，不公正的
 unfortunate#不幸的；可取的
 unfortunately#不幸地
 unhappy#不幸福的，不快乐的
 uniform#一样的 #制服
 union#联合；团结；协会
 unique #唯一的，独一无二的
 unit #单位；单元；部件
 unite#联合 #使联合
 unity#单一；统一；团结
 universal#宇宙的；普遍的
 universe #宇宙，世界
 university #大学，综合性大学
 unjust #非正义的；不公平的
 unkind #不仁慈的，不和善的
 unknown#不知道的；未知的
 unless #除非，如果不
 unlike #不同的 #不象…
 unlikely #未必的，未必可能的
 unload #卸(货) #卸货
 unlucky#不幸的；不吉的
 unnecessary#不必要的，多余的
 unpleasant #令人不快的，讨厌的
 unsatisfactory #不能令人满意的
 unstable #不稳固的；不稳定的
 unsuitable #不合适的，不适宜的
 untilprep&#直到…为止
 unusual#不平常的；独特的
 unusually#不平常地，非常
 unwilling#不愿意的
 up #向上；起床，起来
